Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
Logistic Regression,0.8038379530916845,0.6484848484848484,0.5721925133689839,0.6079545454545454,0.8359290473207676
Random Forest,0.7896233120113717,0.6344827586206897,0.4919786096256685,0.5542168674698795,0.8139989957084653
